date,ticker,baseline_selected,u1_selected,change_type
2018-07-31,1737,True,True,UNCHANGED
2018-07-31,1808,True,True,UNCHANGED
2018-07-31,2014,True,True,UNCHANGED
2018-07-31,2104,True,True,UNCHANGED
2018-07-31,2108,True,True,UNCHANGED
2018-07-31,2233,True,True,UNCHANGED
2018-07-31,2356,True,True,UNCHANGED
2018-07-31,2480,True,True,UNCHANGED
2018-07-31,2501,True,True,UNCHANGED
2018-07-31,2608,True,True,UNCHANGED
2018-07-31,2617,True,True,UNCHANGED
2018-07-31,2618,True,True,UNCHANGED
2018-07-31,2640,True,True,UNCHANGED
2018-07-31,2823,True,True,UNCHANGED
2018-07-31,2834,True,True,UNCHANGED
2018-07-31,2883,True,True,UNCHANGED
2018-07-31,2885,True,True,UNCHANGED
2018-07-31,2929,True,True,UNCHANGED
2018-07-31,3005,True,True,UNCHANGED
2018-07-31,3006,True,True,UNCHANGED
2018-07-31,3357,True,True,UNCHANGED
2018-07-31,3402,True,True,UNCHANGED
2018-07-31,3540,True,True,UNCHANGED
2018-07-31,3596,True,True,UNCHANGED
2018-07-31,4114,True,True,UNCHANGED
2018-07-31,4417,True,True,UNCHANGED
2018-07-31,4527,True,True,UNCHANGED
2018-07-31,4707,True,True,UNCHANGED
2018-07-31,4958,True,True,UNCHANGED
2018-07-31,4999,True,True,UNCHANGED
2018-07-31,5288,True,True,UNCHANGED
2018-07-31,5289,True,True,UNCHANGED
2018-07-31,5474,True,True,UNCHANGED
2018-07-31,5525,True,True,UNCHANGED
2018-07-31,5531,True,True,UNCHANGED
2018-07-31,5534,True,True,UNCHANGED
2018-07-31,6121,True,True,UNCHANGED
2018-07-31,6138,True,True,UNCHANGED
2018-07-31,6173,True,True,UNCHANGED
2018-07-31,6221,True,True,UNCHANGED
2018-07-31,6411,True,True,UNCHANGED
2018-07-31,6505,True,True,UNCHANGED
2018-07-31,6532,True,True,UNCHANGED
2018-07-31,8109,True,True,UNCHANGED
2018-07-31,8415,True,True,UNCHANGED
2018-07-31,8422,True,True,UNCHANGED
2018-07-31,8916,True,True,UNCHANGED
2018-07-31,9946,True,True,UNCHANGED
2018-08-31,1102,True,True,UNCHANGED
2018-08-31,1109,True,True,UNCHANGED
2018-08-31,1301,True,True,UNCHANGED
2018-08-31,1303,True,True,UNCHANGED
2018-08-31,1312,True,True,UNCHANGED
2018-08-31,1409,True,True,UNCHANGED
2018-08-31,1434,True,True,UNCHANGED
2018-08-31,1605,True,True,UNCHANGED
2018-08-31,1701,True,True,UNCHANGED
2018-08-31,1704,True,True,UNCHANGED
2018-08-31,1722,True,True,UNCHANGED
2018-08-31,1737,True,True,UNCHANGED
2018-08-31,1773,True,True,UNCHANGED
2018-08-31,2108,True,True,UNCHANGED
2018-08-31,2233,True,True,UNCHANGED
2018-08-31,2415,True,True,UNCHANGED
2018-08-31,2501,True,True,UNCHANGED
2018-08-31,2608,True,True,UNCHANGED
2018-08-31,2618,True,True,UNCHANGED
2018-08-31,2812,True,True,UNCHANGED
2018-08-31,2883,True,True,UNCHANGED
2018-08-31,3218,True,True,UNCHANGED
2018-08-31,3546,True,True,UNCHANGED
2018-08-31,3563,True,True,UNCHANGED
2018-08-31,4137,True,True,UNCHANGED
2018-08-31,4417,True,True,UNCHANGED
2018-08-31,4536,True,True,UNCHANGED
2018-08-31,4958,True,True,UNCHANGED
2018-08-31,5289,True,True,UNCHANGED
2018-08-31,5353,True,True,UNCHANGED
2018-08-31,6245,True,True,UNCHANGED
2018-08-31,6505,True,True,UNCHANGED
2018-08-31,6532,True,True,UNCHANGED
2018-08-31,8109,True,True,UNCHANGED
2018-08-31,8415,True,True,UNCHANGED
2018-08-31,8436,True,True,UNCHANGED
2018-08-31,8942,True,True,UNCHANGED
2018-08-31,9945,True,True,UNCHANGED
2018-08-31,9946,True,True,UNCHANGED
2018-09-28,1101,True,True,UNCHANGED
2018-09-28,1102,True,True,UNCHANGED
2018-09-28,1109,True,True,UNCHANGED
2018-09-28,1235,True,True,UNCHANGED
2018-09-28,1303,True,True,UNCHANGED
2018-09-28,1314,True,True,UNCHANGED
2018-09-28,1409,True,True,UNCHANGED
2018-09-28,1434,True,True,UNCHANGED
2018-09-28,1537,True,True,UNCHANGED
2018-09-28,1605,True,True,UNCHANGED
2018-09-28,1737,True,True,UNCHANGED
2018-09-28,1783,True,True,UNCHANGED
2018-09-28,2014,True,True,UNCHANGED
2018-09-28,2015,True,True,UNCHANGED
2018-09-28,2221,True,True,UNCHANGED
2018-09-28,2356,True,True,UNCHANGED
2018-09-28,2458,True,True,UNCHANGED
2018-09-28,2471,True,True,UNCHANGED
2018-09-28,2501,True,True,UNCHANGED
2018-09-28,2536,True,True,UNCHANGED
2018-09-28,2542,True,True,UNCHANGED
2018-09-28,2608,True,True,UNCHANGED
2018-09-28,2812,True,True,UNCHANGED
2018-09-28,2834,True,True,UNCHANGED
2018-09-28,2881,True,True,UNCHANGED
